customerid,gender,seniorcitizen,partner,dependents,tenure,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,churn_label,segmento_antiguedad,score_servicios,ratio_cargo_antiguedad,segmento_valor,flag_contrato_mensual,flag_pago_riesgo,cltv_proyectado_24m,prob_churn,pred_churn,nivel_riesgo
7590-VHVEG,Female,0,Yes,No,1,DSL,Month-to-month,Yes,Electronic check,29.85,29.85,0,No,Nuevo (0-12m),1,29.85,Bajo,1,1,716.4,0.7749027881366928,1,Alto
5575-GNVDE,Male,0,No,No,34,DSL,One year,No,Mailed check,56.95,1889.5,0,No,En desarrollo (13-36m),2,1.68,Medio,0,0,1366.8,0.10669087023477644,0,Bajo
3668-QPYBK,Male,0,No,No,2,DSL,Month-to-month,Yes,Mailed check,53.85,108.15,1,Yes,Nuevo (0-12m),2,26.93,Bajo,1,0,1292.4,0.7537794845439535,1,Alto
7795-CFOCW,Male,0,No,No,45,DSL,One year,No,Bank transfer (automatic),42.3,1840.75,0,No,Maduro (36m+),3,0.94,Medio,0,0,1015.2,0.10143832004556884,0,Bajo
9237-HQITU,Female,0,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,70.7,151.65,1,Yes,Nuevo (0-12m),0,35.35,Bajo,1,1,1696.8,0.8344048862782253,1,Alto
9305-CDSKC,Female,0,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,99.65,820.5,1,Yes,Nuevo (0-12m),3,12.46,Medio,1,1,2391.6,0.9021626894392695,1,Alto
1452-KIOVK,Male,0,No,Yes,22,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,No,En desarrollo (13-36m),2,4.05,Medio,1,0,2138.4,0.603184539966724,1,Medio
6713-OKOMC,Female,0,No,No,10,DSL,Month-to-month,No,Mailed check,29.75,301.9,0,No,Nuevo (0-12m),1,2.98,Bajo,1,0,714.0,0.4472280135284709,0,Medio
7892-POOKP,Female,0,Yes,No,28,Fiber optic,Month-to-month,Yes,Electronic check,104.8,3046.05,1,Yes,En desarrollo (13-36m),4,3.74,Alto,1,1,2515.2,0.7831294675145888,1,Alto
6388-TABGU,Male,0,No,Yes,62,DSL,One year,No,Bank transfer (automatic),56.15,3487.95,0,No,Maduro (36m+),2,0.91,Alto,0,0,1347.6,0.06284053417943364,0,Bajo
9763-GRSKD,Male,0,Yes,Yes,13,DSL,Month-to-month,Yes,Mailed check,49.95,587.45,0,No,En desarrollo (13-36m),1,3.84,Medio,1,0,1198.8,0.3245520464264704,0,Bajo
7469-LKBCI,Male,0,No,No,16,No,Two year,No,Credit card (automatic),18.95,326.8,0,No,En desarrollo (13-36m),0,1.18,Bajo,0,0,454.8,0.023966837939769073,0,Bajo
8091-TTVAX,Male,0,Yes,No,58,Fiber optic,One year,No,Credit card (automatic),100.35,5681.1,0,No,Maduro (36m+),3,1.73,Premium,0,0,2408.4,0.3260118445432162,0,Bajo
0280-XJGEX,Male,0,No,No,49,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,Yes,Maduro (36m+),4,2.12,Premium,1,0,2488.8,0.6324140999021715,1,Medio
5129-JLPIS,Male,0,No,No,25,Fiber optic,Month-to-month,Yes,Electronic check,105.5,2686.05,0,No,En desarrollo (13-36m),5,4.22,Alto,1,1,2532.0,0.7172883910210782,1,Alto
3655-SNQYZ,Female,0,Yes,Yes,69,Fiber optic,Two year,No,Credit card (automatic),113.25,7895.15,0,No,Maduro (36m+),6,1.64,Premium,0,0,2718.0,0.0927083854608413,0,Bajo
8191-XWSZG,Female,0,No,No,52,No,One year,No,Mailed check,20.65,1022.95,0,No,Maduro (36m+),0,0.4,Medio,0,0,495.6,0.022930581233667032,0,Bajo
9959-WOFKT,Male,0,No,Yes,71,Fiber optic,Two year,No,Bank transfer (automatic),106.7,7382.25,0,No,Maduro (36m+),4,1.5,Premium,0,0,2560.8,0.2289991159703892,0,Bajo
4190-MFLUW,Female,0,Yes,Yes,10,DSL,Month-to-month,No,Credit card (automatic),55.2,528.35,1,Yes,Nuevo (0-12m),2,5.52,Medio,1,0,1324.8,0.32561374680031624,0,Bajo
4183-MYFRB,Female,0,No,No,21,Fiber optic,Month-to-month,Yes,Electronic check,90.05,1862.9,0,No,En desarrollo (13-36m),3,4.29,Medio,1,1,2161.2,0.7580097138160728,1,Alto
8779-QRDMV,Male,1,No,No,1,DSL,Month-to-month,Yes,Electronic check,39.65,39.65,1,Yes,Nuevo (0-12m),2,39.65,Bajo,1,1,951.6,0.8765837422090554,1,Alto
